id_event,Real,Estimation
2014_12_16 18_50_12_M2_6,2.59999990463,2.90474
2014_10_19 17_56_18_M3_4,3.40000009537,3.5139
2014_04_04 16_02_42_M4_9,4.90000009537,4.68551
2019_01_30 07_44_45_M5_6,5.59999990463,5.61244
2014_04_14 13_35_41_M4_6,4.59999990463,4.57728
2019_04_26 06_22_34_M5_5,5.5,5.62975
2014_04_02 04_46_19_M5_7,5.69999980927,5.92105
2014_03_24 04_41_40_M2_5,2.5,2.61005
2020_01_09 16_25_56_M4_1,4.09999990463,4.34759
2015_09_28 06_05_43_M4_8,4.80000019073,5.09332
2015_09_17 12_14_34_M5_9,5.90000009537,5.74114
2014_07_16 03_37_47_M3_3,3.29999995232,3.44565
2015_12_13 01_17_39_M4_1,4.09999990463,4.07224
2014_04_21 07_10_38_M4_0,4.0,3.84302
2014_06_19 09_38_35_M5_8,5.80000019073,5.78733
2014_09_23 03_43_38_M2_8,2.79999995232,2.92788
2014_04_21 07_33_38_M3_1,3.09999990463,3.12276
2016_02_10 13_15_01_M4_4,4.40000009537,4.03767
2014_03_24 11_32_15_M5_3,5.30000019073,5.44704
2014_03_25 22_08_46_M3_6,3.59999990463,3.88066
2016_02_22 06_37_03_M5_9,5.90000009537,5.92678
2015_09_22 07_13_00_M6_1,6.09999990463,6.35962
2017_04_28 15_58_34_M5_4,5.40000009537,5.72706
2016_10_27 20_32_55_M5_9,5.90000009537,5.57961
2014_03_21 18_29_22_M2_7,2.70000004768,2.71692
2014_03_24 11_40_43_M5_7,5.69999980927,5.64833
2014_04_03 19_56_49_M3_3,3.29999995232,3.26387
2015_11_07 11_51_29_M4_4,4.40000009537,4.07299
2015_09_17 03_34_50_M4_6,4.59999990463,4.98733
2014_07_26 21_25_15_M3_6,3.59999990463,4.44349
2014_04_02 04_57_41_M3_6,3.59999990463,4.21897
2015_11_06 08_44_07_M5_4,5.40000009537,5.41014
2020_09_01 10_31_52_M5_7,5.69999980927,5.55246
2016_06_03 13_46_53_M4_2,4.19999980927,3.95658
2014_04_05 13_36_21_M3_9,3.90000009537,4.11012
2019_09_26 20_31_28_M5_4,5.40000009537,5.69231
2014_05_10 16_40_18_M3_9,3.90000009537,3.52587
2016_07_25 14_59_29_M4_7,4.69999980927,4.52709
2015_05_29 04_28_16_M5_2,5.19999980927,5.39039
2016_02_10 00_33_05_M6_3,6.30000019073,6.275
2015_08_12 17_45_32_M3_8,3.79999995232,3.93161
2014_03_24 05_22_41_M4_0,4.0,3.87655
2014_04_09 00_41_47_M1_9,1.89999997616,2.92709
2014_03_18 16_08_18_M2_4,2.40000009537,2.31445
2014_03_27 02_27_53_M2_1,2.09999990463,2.78896
2014_04_04 07_57_32_M4_3,4.30000019073,4.35732
2020_04_03 08_48_00_M4_8,4.80000019073,4.85732
2014_06_20 20_22_27_M5_8,5.80000019073,5.53024
2016_02_16 15_49_34_M4_2,4.19999980927,3.95128
2015_09_19 09_07_09_M5_8,5.80000019073,6.15476
2017_02_03 00_52_26_M5_1,5.09999990463,5.50902
2016_04_16 06_05_22_M5_3,5.30000019073,5.60966
2014_08_27 21_10_00_M2_6,2.59999990463,2.93541
2014_04_03 09_08_57_M5_0,5.0,4.45832
2014_07_22 04_27_46_M2_9,2.90000009537,2.95135
2015_09_19 12_52_20_M6_2,6.19999980927,6.13542
2014_02_25 00_03_05_M2_5,2.5,2.8448
2014_01_04 18_56_31_M3_6,3.59999990463,3.76305
2015_01_02 01_02_18_M3_4,3.40000009537,3.02877
2014_03_04 02_49_45_M4_3,4.30000019073,4.54376
2015_10_15 11_03_11_M4_7,4.69999980927,4.53083
2014_01_11 13_43_26_M3_7,3.70000004768,3.31701
2014_08_23 22_32_23_M6_4,6.40000009537,6.37401
2014_04_27 03_15_47_M2_3,2.29999995232,2.30801
2015_07_23 00_27_36_M4_0,4.0,3.66846
2015_08_01 10_19_06_M3_4,3.40000009537,3.46598
2014_11_23 08_54_27_M2_3,2.29999995232,2.30702
2014_04_01 23_57_56_M7_0,7.0,6.71053
2017_02_12 16_21_10_M4_9,4.90000009537,5.18757
2014_03_15 09_31_18_M4_2,4.19999980927,3.86281
2014_04_03 02_56_04_M5_5,5.5,5.78029
2014_05_24 08_03_06_M3_2,3.20000004768,3.28637
2016_05_26 20_36_50_M4_8,4.80000019073,5.0456
2014_11_28 09_27_31_M3_0,3.0,3.36204
2014_03_18 20_17_34_M4_0,4.0,4.09635
2015_07_25 01_58_30_M2_1,2.09999990463,2.32919
2015_07_19 09_18_21_M3_5,3.5,3.61695
2014_05_19 06_02_52_M3_0,3.0,2.83777
2014_05_27 20_54_27_M2_6,2.59999990463,2.6365
2019_03_07 15_34_28_M5_7,5.69999980927,5.13987
2019_12_03 07_29_30_M5_4,5.40000009537,5.63847
2017_10_07 10_37_24_M4_1,4.09999990463,4.068
2014_04_10 00_10_32_M4_7,4.69999980927,4.75991
2015_05_12 05_50_13_M2_9,2.90000009537,2.91629
2014_04_25 13_40_50_M3_1,3.09999990463,3.09254
2017_09_04 21_55_19_M5_1,5.09999990463,5.30583
2014_04_01 01_06_37_M2_9,2.90000009537,3.01018
2015_09_19 05_06_47_M6_1,6.09999990463,6.03022
2016_06_05 09_30_52_M4_0,4.0,4.20729
2015_04_07 12_15_08_M3_3,3.29999995232,2.87169
2014_02_28 20_36_36_M2_9,2.90000009537,3.14284
2014_04_21 13_39_04_M5_3,5.30000019073,5.55868
2014_07_13 13_13_16_M2_5,2.5,2.33207
2014_12_10 02_37_56_M2_8,2.79999995232,3.08354
2014_07_28 10_22_40_M3_2,3.20000004768,2.94294
2014_02_21 18_17_30_M2_5,2.5,2.39987
2019_12_03 08_46_36_M6_0,6.0,5.74116
2015_08_12 00_14_39_M5_5,5.5,5.40428
2015_06_11 12_04_31_M2_3,2.29999995232,2.49946
2015_10_04 10_11_56_M5_0,5.0,5.27879
2020_09_01 05_29_38_M5_5,5.5,5.72933
2015_04_07 21_16_22_M2_8,2.79999995232,2.80454
2015_02_22 05_40_18_M4_6,4.59999990463,4.87492
2020_11_12 10_24_45_M4_3,4.30000019073,4.13652
2014_05_11 00_35_54_M2_3,2.29999995232,2.34852
2015_09_16 23_09_06_M5_6,5.59999990463,6.21095
2017_01_08 00_33_47_M4_8,4.80000019073,5.23348
2017_09_18 13_46_57_M5_9,5.90000009537,5.6643
2014_09_12 16_14_33_M3_9,3.90000009537,3.82009
2015_09_21 17_40_00_M6_6,6.59999990463,6.6502
2015_09_19 21_27_27_M4_1,4.09999990463,3.91888
2014_04_30 12_48_18_M2_4,2.40000009537,2.60422
2014_12_02 01_00_45_M4_5,4.5,4.14845
2014_03_19 01_19_19_M2_9,2.90000009537,3.04328
2014_10_23 23_38_51_M5_2,5.19999980927,5.07942
2014_04_10 09_14_09_M2_4,2.40000009537,2.42225
2015_04_14 01_59_31_M2_7,2.70000004768,2.66172
2014_04_05 04_05_02_M5_1,5.09999990463,5.12655
2014_04_29 04_06_30_M3_7,3.70000004768,3.47242
2019_08_02 00_09_15_M4_2,4.19999980927,4.39496
2020_09_06 01_16_58_M6_3,6.30000019073,6.20506
2014_04_04 13_41_28_M3_9,3.90000009537,3.74863
2014_03_24 00_42_03_M2_7,2.70000004768,2.78344
2014_04_15 17_12_20_M5_0,5.0,4.87626
2014_02_04 11_44_28_M3_6,3.59999990463,3.38482
2014_04_04 01_37_51_M6_2,6.19999980927,5.84487
2015_07_18 21_22_35_M3_6,3.59999990463,3.21856
